Tanoak,Tolerance_Resistance,Rank_Sorting
AR-14-303,Resistant,41
LP-22-2,Resistant,21
LP-22-20,Resistant,2
LP-22-36,Some Resistance,75
LP-22-46,Some Resistance,79
LP-22-48,Resistant,1
LP-22-50,Resistant,5
LP-22-54,Resistant,4
LP-22-55,Some Resistance,74
LP-22-7,Some Resistance,89
LP-25-1,Resistant,17
LP-25-15,Resistant,49
LP-25-22,Resistant,19
LP-25-25,Resistant,22
LP-25-28,Resistant,64
LP-25-41,Resistant,44
LP-25-45,Some Resistance,94
LP-25-46,Resistant,11
LP-25-9,Resistant,40
MA-4-401,Resistant,50
MA-4-404,Resistant,43
MA-4-405,Resistant,20
MA-4-413,Resistant,51
MA-4-414,Resistant,10
MA-4-415,Resistant,23
MA-4-418,Resistant,35
MA-4-421,Resistant,60
SM-50-35,Some Resistance,109
SM-50-37,Susceptible,141
SM-50-39,Some Resistance,107
SM-50-41,Susceptible,123
SM-50-44,Resistant,47
SM-50-45,Susceptible,145
SM-50-46,Some Resistance,66
SM-50-48,Susceptible,119
SM-50-96,Susceptible,131
SM-52-24,Resistant,36
SM-52-34,Resistant,15
SM-52-35,Resistant,32
SM-52-36,Resistant,38
SM-52-42,Resistant,13
SM-52-43,Some Resistance,76
SM-52-47,Resistant,48
SM-52-81,Resistant,7
SM-52-91,Resistant,6
SM-52-97,Resistant,31
SM-54-26,Susceptible,133
SM-54-27,Some Resistance,85
SM-54-28,Susceptible,137
SM-54-37,Susceptible,125
SM-54-45,Susceptible,132
SM-54-93,Some Resistance,73